Galaxy,M_bar_Msun,R_dm_kpc,R_sol_kpc,Ratio
UGC07399,1.5688e+09,0.6100,0.9133,0.6679
UGC07524,3.5841e+09,0.3500,1.2029,0.2910
UGC07559,2.7927e+08,0.7200,0.5138,1.4014
UGC07577,8.1020e+07,1.6900,0.3401,4.9688
UGC07603,5.3114e+08,0.3400,0.6366,0.5341
UGC07608,8.4355e+08,0.6000,0.7427,0.8079
UGC07690,9.4770e+08,0.5900,0.7721,0.7642
UGC07866,2.1894e+08,0.3300,0.4737,0.6966
UGC08286,1.4814e+09,0.4700,0.8960,0.5245
UGC08490,1.4661e+09,0.3400,0.8929,0.3808
UGC08550,5.2754e+08,0.4900,0.6351,0.7715
UGC08699,3.0123e+10,5.8700,2.4457,2.4002
UGC08837,6.7610e+08,1.5700,0.6899,2.2758
UGC09037,5.9681e+10,15.7800,3.0717,5.1372
UGC09133,1.8592e+11,0.3200,4.4862,0.0713
UGC09992,5.9094e+08,0.7800,0.6596,1.1825
UGC10310,2.4612e+09,1.1000,1.0612,1.0365
UGC11455,2.0490e+11,4.9100,4.6339,1.0596
UGC11820,3.1144e+09,0.2600,1.1479,0.2265
UGC11914,7.6195e+10,6.9200,3.3323,2.0766
UGC12506,1.1707e+11,0.8200,3.8452,0.2133
UGC12632,2.9700e+09,0.7100,1.1299,0.6284
UGC12732,5.7013e+09,0.9600,1.4042,0.6837
UGCA281,1.7946e+08,0.2500,0.4434,0.5639
UGCA442,4.1979e+08,0.4200,0.5885,0.7136
UGCA444,9.5110e+07,0.4700,0.3588,1.3099
